zh.0	General Quality: 65	Cohesion: 60	Coherence: 70	Style Consistency: 55	Terminology Consistency: 60	Average: 62.00
zh.1	General Quality: 87	Cohesion: 85	Coherence: 88	Style Consistency: 83	Terminology Consistency: 80	Average: 84.60
zh.2	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 72	Terminology Consistency: 68	Average: 74.60
zh.3	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
zh.4	General Quality: 82	Cohesion: 85	Coherence: 80	Style Consistency: 78	Terminology Consistency: 75	Average: 80.00
zh.5	General Quality: 68	Cohesion: 70	Coherence: 72	Style Consistency: 65	Terminology Consistency: 60	Average: 67.00
zh.6	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
zh.7	General Quality: 75	Cohesion: 70	Coherence: 72	Style Consistency: 68	Terminology Consistency: 60	Average: 69.00
zh.8	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
zh.9	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
zh.10	General Quality: 78	Cohesion: 80	Coherence: 82	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
zh.11	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 85	Average: 77.60
zh.12	General Quality: 80	Cohesion: 85	Coherence: 82	Style Consistency: 78	Terminology Consistency: 70	Average: 79.00
zh.13	General Quality: 85	Cohesion: 88	Coherence: 86	Style Consistency: 82	Terminology Consistency: 80	Average: 84.20
zh.14	General Quality: 80	Cohesion: 78	Coherence: 80	Style Consistency: 77	Terminology Consistency: 75	Average: 78.00
zh.15	General Quality: 85	Cohesion: 88	Coherence: 86	Style Consistency: 82	Terminology Consistency: 78	Average: 83.80
zh.16	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 65	Average: 73.60
zh.17	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 65	Average: 73.60
zh.18	General Quality: 85	Cohesion: 88	Coherence: 83	Style Consistency: 86	Terminology Consistency: 90	Average: 86.40
zh.19	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
zh.20	General Quality: 78	Cohesion: 80	Coherence: 76	Style Consistency: 75	Terminology Consistency: 65	Average: 74.80
zh.21	General Quality: 87	Cohesion: 85	Coherence: 88	Style Consistency: 83	Terminology Consistency: 80	Average: 84.60
zh.22	General Quality: 60	Cohesion: 55	Coherence: 65	Style Consistency: 50	Terminology Consistency: 40	Average: 54.00
zh.23	General Quality: 78	Cohesion: 80	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
zh.24	General Quality: 87	Cohesion: 85	Coherence: 88	Style Consistency: 83	Terminology Consistency: 80	Average: 84.60
Average Scores	General Quality:	78.44	Cohesion:	78.92	Coherence:	79.16	Style Consistency:	73.72	Terminology Consistency:	72.44
Meta	76.54
