zh.0	General Quality: 45	Cohesion: 40	Coherence: 35	Style Consistency: 30	Terminology Consistency: 50	Average: 40.00
zh.1	General Quality: 68	Cohesion: 65	Coherence: 70	Style Consistency: 60	Terminology Consistency: 75	Average: 67.60
zh.2	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 65	Average: 70.00
zh.3	General Quality: 65	Cohesion: 60	Coherence: 62	Style Consistency: 55	Terminology Consistency: 50	Average: 58.40
zh.4	General Quality: 55	Cohesion: 50	Coherence: 45	Style Consistency: 40	Terminology Consistency: 45	Average: 47.00
zh.5	General Quality: 65	Cohesion: 60	Coherence: 62	Style Consistency: 55	Terminology Consistency: 50	Average: 58.40
zh.6	General Quality: 72	Cohesion: 68	Coherence: 70	Style Consistency: 75	Terminology Consistency: 80	Average: 73.00
zh.7	General Quality: 65	Cohesion: 60	Coherence: 62	Style Consistency: 58	Terminology Consistency: 55	Average: 60.00
zh.8	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
zh.9	General Quality: 60	Cohesion: 55	Coherence: 58	Style Consistency: 50	Terminology Consistency: 60	Average: 56.60
zh.10	General Quality: 65	Cohesion: 60	Coherence: 62	Style Consistency: 50	Terminology Consistency: 65	Average: 60.40
zh.11	General Quality: 55	Cohesion: 50	Coherence: 45	Style Consistency: 40	Terminology Consistency: 35	Average: 45.00
zh.12	General Quality: 55	Cohesion: 50	Coherence: 45	Style Consistency: 40	Terminology Consistency: 35	Average: 45.00
zh.13	General Quality: 60	Cohesion: 65	Coherence: 60	Style Consistency: 55	Terminology Consistency: 60	Average: 60.00
zh.14	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 85	Average: 78.00
zh.15	General Quality: 60	Cohesion: 55	Coherence: 60	Style Consistency: 50	Terminology Consistency: 55	Average: 56.00
zh.16	General Quality: 68	Cohesion: 65	Coherence: 70	Style Consistency: 60	Terminology Consistency: 55	Average: 63.60
zh.17	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 60	Terminology Consistency: 65	Average: 65.60
zh.18	General Quality: 60	Cohesion: 55	Coherence: 58	Style Consistency: 50	Terminology Consistency: 45	Average: 53.60
zh.19	General Quality: 60	Cohesion: 55	Coherence: 60	Style Consistency: 50	Terminology Consistency: 55	Average: 56.00
zh.20	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 65	Average: 70.00
zh.21	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 76	Terminology Consistency: 74	Average: 78.00
zh.22	General Quality: 68	Cohesion: 70	Coherence: 72	Style Consistency: 65	Terminology Consistency: 60	Average: 67.00
zh.23	General Quality: 68	Cohesion: 65	Coherence: 70	Style Consistency: 60	Terminology Consistency: 55	Average: 63.60
zh.24	General Quality: 68	Cohesion: 65	Coherence: 70	Style Consistency: 60	Terminology Consistency: 55	Average: 63.60
Average Scores	General Quality:	65.20	Cohesion:	62.24	Coherence:	63.52	Style Consistency:	56.76	Terminology Consistency:	58.56
Meta	61.26
