zh.0	General Quality: 65	Cohesion: 60	Coherence: 62	Style Consistency: 55	Terminology Consistency: 50	Average: 58.40
zh.1	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 95	Average: 92.20
zh.2	General Quality: 90	Cohesion: 88	Coherence: 92	Style Consistency: 85	Terminology Consistency: 93	Average: 89.60
zh.3	General Quality: 80	Cohesion: 78	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
zh.4	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
zh.5	General Quality: 87	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 80	Average: 86.80
zh.6	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
zh.7	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 80	Average: 73.00
zh.8	General Quality: 80	Cohesion: 85	Coherence: 83	Style Consistency: 78	Terminology Consistency: 75	Average: 80.20
zh.9	General Quality: 68	Cohesion: 60	Coherence: 65	Style Consistency: 55	Terminology Consistency: 70	Average: 63.60
zh.10	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 95	Average: 92.20
zh.11	General Quality: 87	Cohesion: 85	Coherence: 88	Style Consistency: 82	Terminology Consistency: 90	Average: 86.40
zh.12	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 83	Terminology Consistency: 75	Average: 84.20
zh.13	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 80	Average: 86.00
zh.14	General Quality: 85	Cohesion: 80	Coherence: 83	Style Consistency: 82	Terminology Consistency: 78	Average: 81.60
zh.15	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 82	Terminology Consistency: 90	Average: 86.40
zh.16	General Quality: 78	Cohesion: 80	Coherence: 83	Style Consistency: 75	Terminology Consistency: 70	Average: 77.20
zh.17	General Quality: 80	Cohesion: 75	Coherence: 78	Style Consistency: 72	Terminology Consistency: 65	Average: 74.00
zh.18	General Quality: 95	Cohesion: 97	Coherence: 96	Style Consistency: 95	Terminology Consistency: 93	Average: 95.20
zh.19	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 80	Average: 87.00
zh.20	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 82	Terminology Consistency: 80	Average: 85.00
zh.21	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 93	Average: 89.60
zh.22	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 85	Average: 89.60
zh.23	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 87	Average: 88.40
zh.24	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 82	Terminology Consistency: 78	Average: 84.60
Average Scores	General Quality:	83.80	Cohesion:	83.72	Coherence:	85.40	Style Consistency:	79.84	Terminology Consistency:	79.68
Meta	82.49
