en.0	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 85	Terminology Consistency: 88	Average: 82.60
en.1	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 65	Terminology Consistency: 75	Average: 67.00
en.2	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 82	Terminology Consistency: 88	Average: 80.60
en.3	General Quality: 60	Cohesion: 55	Coherence: 50	Style Consistency: 65	Terminology Consistency: 70	Average: 60.00
en.4	General Quality: 65	Cohesion: 60	Coherence: 55	Style Consistency: 60	Terminology Consistency: 70	Average: 62.00
en.5	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 75	Terminology Consistency: 80	Average: 70.00
en.6	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 68	Terminology Consistency: 80	Average: 68.60
en.7	General Quality: 80	Cohesion: 75	Coherence: 85	Style Consistency: 78	Terminology Consistency: 82	Average: 80.00
en.8	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 60	Terminology Consistency: 75	Average: 67.60
en.9	General Quality: 60	Cohesion: 65	Coherence: 55	Style Consistency: 70	Terminology Consistency: 60	Average: 62.00
en.10	General Quality: 65	Cohesion: 60	Coherence: 55	Style Consistency: 70	Terminology Consistency: 75	Average: 65.00
en.11	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 75	Terminology Consistency: 80	Average: 71.60
en.12	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 72	Terminology Consistency: 80	Average: 71.00
en.13	General Quality: 55	Cohesion: 60	Coherence: 50	Style Consistency: 65	Terminology Consistency: 70	Average: 60.00
en.14	General Quality: 65	Cohesion: 60	Coherence: 55	Style Consistency: 70	Terminology Consistency: 75	Average: 65.00
en.15	General Quality: 83	Cohesion: 85	Coherence: 87	Style Consistency: 80	Terminology Consistency: 90	Average: 85.00
en.16	General Quality: 82	Cohesion: 85	Coherence: 80	Style Consistency: 83	Terminology Consistency: 88	Average: 83.60
en.17	General Quality: 80	Cohesion: 75	Coherence: 70	Style Consistency: 78	Terminology Consistency: 85	Average: 77.60
en.18	General Quality: 80	Cohesion: 85	Coherence: 83	Style Consistency: 78	Terminology Consistency: 88	Average: 82.80
en.19	General Quality: 65	Cohesion: 60	Coherence: 55	Style Consistency: 60	Terminology Consistency: 70	Average: 62.00
en.20	General Quality: 60	Cohesion: 55	Coherence: 50	Style Consistency: 60	Terminology Consistency: 65	Average: 58.00
en.21	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 75	Terminology Consistency: 80	Average: 70.00
en.22	General Quality: 87	Cohesion: 85	Coherence: 88	Style Consistency: 83	Terminology Consistency: 80	Average: 84.60
en.23	General Quality: 68	Cohesion: 70	Coherence: 65	Style Consistency: 72	Terminology Consistency: 80	Average: 71.00
en.24	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 82	Terminology Consistency: 92	Average: 86.80
Average Scores	General Quality:	71.60	Cohesion:	69.44	Coherence:	66.76	Style Consistency:	72.44	Terminology Consistency:	78.64
Meta	71.78
