en.0	General Quality: 75	Cohesion: 70	Coherence: 68	Style Consistency: 65	Terminology Consistency: 70	Average: 69.60
en.1	General Quality: 78	Cohesion: 80	Coherence: 76	Style Consistency: 82	Terminology Consistency: 75	Average: 78.20
en.2	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 91	Terminology Consistency: 96	Average: 93.60
en.3	General Quality: 92	Cohesion: 95	Coherence: 93	Style Consistency: 90	Terminology Consistency: 96	Average: 93.20
en.4	General Quality: 85	Cohesion: 80	Coherence: 83	Style Consistency: 78	Terminology Consistency: 90	Average: 83.20
en.5	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.6	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 95	Average: 92.20
en.7	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.8	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 72	Terminology Consistency: 65	Average: 74.00
en.9	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 75	Terminology Consistency: 70	Average: 68.00
en.10	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 83	Terminology Consistency: 92	Average: 87.60
en.11	General Quality: 55	Cohesion: 50	Coherence: 45	Style Consistency: 40	Terminology Consistency: 35	Average: 45.00
en.12	General Quality: 85	Cohesion: 80	Coherence: 88	Style Consistency: 82	Terminology Consistency: 90	Average: 85.00
en.13	General Quality: 88	Cohesion: 92	Coherence: 90	Style Consistency: 87	Terminology Consistency: 93	Average: 90.00
en.14	General Quality: 90	Cohesion: 93	Coherence: 92	Style Consistency: 95	Terminology Consistency: 85	Average: 91.00
en.15	General Quality: 87	Cohesion: 85	Coherence: 90	Style Consistency: 83	Terminology Consistency: 88	Average: 86.60
en.16	General Quality: 85	Cohesion: 80	Coherence: 83	Style Consistency: 78	Terminology Consistency: 90	Average: 83.20
en.17	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.18	General Quality: 65	Cohesion: 60	Coherence: 55	Style Consistency: 70	Terminology Consistency: 75	Average: 65.00
en.19	General Quality: 55	Cohesion: 60	Coherence: 50	Style Consistency: 45	Terminology Consistency: 50	Average: 52.00
en.20	General Quality: 85	Cohesion: 80	Coherence: 83	Style Consistency: 78	Terminology Consistency: 90	Average: 83.20
en.21	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.22	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 82	Terminology Consistency: 90	Average: 86.40
en.23	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 65	Terminology Consistency: 80	Average: 68.00
en.24	General Quality: 70	Cohesion: 65	Coherence: 60	Style Consistency: 75	Terminology Consistency: 80	Average: 70.00
Average Scores	General Quality:	80.80	Cohesion:	80.32	Coherence:	78.84	Style Consistency:	78.00	Terminology Consistency:	82.72
Meta	80.14
