en.0	General Quality: 85	Cohesion: 88	Coherence: 83	Style Consistency: 80	Terminology Consistency: 90	Average: 85.20
en.1	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.2	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.3	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.4	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 93	Terminology Consistency: 96	Average: 94.00
en.5	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 97	Average: 92.60
en.6	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.7	General Quality: 92	Cohesion: 90	Coherence: 91	Style Consistency: 89	Terminology Consistency: 95	Average: 91.40
en.8	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 82	Terminology Consistency: 80	Average: 85.00
en.9	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.10	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.11	General Quality: 88	Cohesion: 92	Coherence: 90	Style Consistency: 85	Terminology Consistency: 95	Average: 90.00
en.12	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 82	Terminology Consistency: 90	Average: 86.40
en.13	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.14	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 95	Average: 92.20
en.15	General Quality: 90	Cohesion: 92	Coherence: 88	Style Consistency: 85	Terminology Consistency: 95	Average: 90.00
en.16	General Quality: 92	Cohesion: 90	Coherence: 91	Style Consistency: 93	Terminology Consistency: 95	Average: 92.20
en.17	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.18	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.19	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 87	Terminology Consistency: 85	Average: 88.40
en.20	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 93	Terminology Consistency: 97	Average: 94.20
en.21	General Quality: 88	Cohesion: 92	Coherence: 90	Style Consistency: 87	Terminology Consistency: 85	Average: 88.40
en.22	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.23	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 90	Terminology Consistency: 97	Average: 93.60
en.24	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 95	Average: 92.20
Average Scores	General Quality:	90.08	Cohesion:	90.76	Coherence:	91.28	Style Consistency:	87.72	Terminology Consistency:	93.24
Meta	90.62
