fr.0	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 77	Terminology Consistency: 82	Average: 78.40
fr.1	General Quality: 87	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 80	Average: 86.80
fr.2	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 65	Average: 73.60
fr.3	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
fr.4	General Quality: 85	Cohesion: 82	Coherence: 88	Style Consistency: 80	Terminology Consistency: 90	Average: 85.00
fr.5	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.6	General Quality: 75	Cohesion: 78	Coherence: 80	Style Consistency: 70	Terminology Consistency: 65	Average: 73.60
fr.7	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 85	Average: 78.00
fr.8	General Quality: 88	Cohesion: 85	Coherence: 87	Style Consistency: 82	Terminology Consistency: 90	Average: 86.40
fr.9	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.10	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.11	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 88	Average: 81.60
fr.12	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 80	Average: 80.00
fr.13	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 85	Average: 77.60
fr.14	General Quality: 85	Cohesion: 80	Coherence: 88	Style Consistency: 82	Terminology Consistency: 78	Average: 82.60
fr.15	General Quality: 80	Cohesion: 78	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.16	General Quality: 72	Cohesion: 68	Coherence: 75	Style Consistency: 65	Terminology Consistency: 60	Average: 68.00
fr.17	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 80	Terminology Consistency: 78	Average: 83.60
fr.18	General Quality: 85	Cohesion: 90	Coherence: 88	Style Consistency: 82	Terminology Consistency: 80	Average: 85.00
fr.19	General Quality: 78	Cohesion: 80	Coherence: 75	Style Consistency: 72	Terminology Consistency: 85	Average: 78.00
fr.20	General Quality: 82	Cohesion: 85	Coherence: 88	Style Consistency: 78	Terminology Consistency: 80	Average: 82.60
fr.21	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 87	Average: 88.40
fr.22	General Quality: 60	Cohesion: 55	Coherence: 65	Style Consistency: 50	Terminology Consistency: 60	Average: 58.00
fr.23	General Quality: 85	Cohesion: 80	Coherence: 88	Style Consistency: 78	Terminology Consistency: 85	Average: 83.20
fr.24	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 80	Terminology Consistency: 75	Average: 80.00
Average Scores	General Quality:	80.44	Cohesion:	79.28	Coherence:	82.64	Style Consistency:	75.20	Terminology Consistency:	77.12
Meta	78.94
