fr.0	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 82	Terminology Consistency: 80	Average: 85.00
fr.1	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 80	Average: 80.00
fr.2	General Quality: 80	Cohesion: 78	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.3	General Quality: 83	Cohesion: 80	Coherence: 85	Style Consistency: 78	Terminology Consistency: 75	Average: 80.20
fr.4	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
fr.5	General Quality: 85	Cohesion: 88	Coherence: 87	Style Consistency: 83	Terminology Consistency: 80	Average: 84.60
fr.6	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 60	Average: 69.00
fr.7	General Quality: 75	Cohesion: 78	Coherence: 80	Style Consistency: 70	Terminology Consistency: 75	Average: 75.60
fr.8	General Quality: 78	Cohesion: 80	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.9	General Quality: 75	Cohesion: 70	Coherence: 72	Style Consistency: 68	Terminology Consistency: 65	Average: 70.00
fr.10	General Quality: 78	Cohesion: 80	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.11	General Quality: 78	Cohesion: 75	Coherence: 80	Style Consistency: 72	Terminology Consistency: 70	Average: 75.00
fr.12	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 80	Average: 80.00
fr.13	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 65	Average: 70.00
fr.14	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 70	Average: 78.00
fr.15	General Quality: 80	Cohesion: 78	Coherence: 82	Style Consistency: 75	Terminology Consistency: 70	Average: 77.00
fr.16	General Quality: 70	Cohesion: 65	Coherence: 75	Style Consistency: 60	Terminology Consistency: 65	Average: 67.00
fr.17	General Quality: 70	Cohesion: 75	Coherence: 72	Style Consistency: 68	Terminology Consistency: 60	Average: 69.00
fr.18	General Quality: 82	Cohesion: 85	Coherence: 80	Style Consistency: 78	Terminology Consistency: 75	Average: 80.00
fr.19	General Quality: 82	Cohesion: 85	Coherence: 80	Style Consistency: 78	Terminology Consistency: 88	Average: 82.60
fr.20	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 70	Terminology Consistency: 65	Average: 73.60
fr.21	General Quality: 75	Cohesion: 80	Coherence: 78	Style Consistency: 75	Terminology Consistency: 70	Average: 75.60
fr.22	General Quality: 72	Cohesion: 68	Coherence: 75	Style Consistency: 65	Terminology Consistency: 70	Average: 70.00
fr.23	General Quality: 82	Cohesion: 78	Coherence: 85	Style Consistency: 75	Terminology Consistency: 80	Average: 80.00
fr.24	General Quality: 85	Cohesion: 80	Coherence: 82	Style Consistency: 78	Terminology Consistency: 75	Average: 80.00
Average Scores	General Quality:	78.32	Cohesion:	78.12	Coherence:	80.24	Style Consistency:	73.44	Terminology Consistency:	72.52
Meta	76.53
